id,naziv_ustanove,naziv_ustanove_eng,tip_ustanove,maticna_ustanova,ulica_broj,mesto,opstina,okrug,region,poz_broj,tel,mobil_tel,e_mail,website,direktor,kontakt_lice,tip_ustanove_eng,tip_ustanove_rus,ime_ustanova_rus,tip_ustanova_kina,ime_ustanova_kina,delete,latitude,longitude,coordinate,pozivni_broj,geometry
"22621",АРТ БИОСКОП „Александар Лифка” Суботица,"Art Cinema ""Lifka""",Биоскопи,,Трг жртава фашизма 5,Суботица,Суботица,СЕВЕРНО-БАЧКИ ОКРУГ,Регион Војводине,"24",527 110,069 5271 102,lifka.cinema@gmail.com,www.alifka.org,Гордана Губеринић,Силвиа Икотић,cinema,кинотеатры,АРТ КИНОТЕАТР „Александр Лифка” Суботица,电影院,苏博蒂察“阿莱克桑达尔·利弗卡”艺术影院,,46.0991517,19.6575999,"46.0991517, 19.6575999","024",POINT(396241.027936589 5105939.918443766)
"22645",АРТ биоскоп Muzeum,"Art Cinema ""Muzeum""",Биоскопи,Етнографски музеј у Београду,Узун Миркова 2,БЕОГРАД - Стари град,БЕОГРАД - Стари град,ГРАД БЕОГРАД,Београдски регион,"11",3281 888,,info@etnografskimuzej.rs,https://sr-rs.facebook.com/Art-Bioskop-Museum-51173066340,"Тијана Чолак-Антић Поповић, в. д. директора",Александра Левнаић,cinema,кинотеатры,АРТ кинотеатр Музеум,电影院,艺术影院博物馆,,44.8200684,20.4536073,"44.8200684, 20.4536073","011",POINT(456801.3219183794 4963107.78954127)
"22317",Банат филм доо - Биоскоп Cinema - Зрењанин,"Banat film LLC - ""Cinema"" Zrenjanin",Биоскопи,,Жарка Зрењанина 53А,Зрењанин,Зрењанин,СРЕДЊЕ-БАНАТСКИ ОКРУГ,Регион Војводине,"23",510 808,064 8208 913,contact@bioskopcinema.co.rs,https://www.kczr.org/index.php/Nedeljni-program/Tabela/Programi/Nedeljni-program/menu-id-21.html,Драган Видаковић,Рашић Стеван,cinema,кинотеатры,Банат фильм ООО - Кинотеатр Синема - Зренянин,电影院,兹雷尼亚宁巴纳特电影公司影院,,45.3882665,20.3781268,"45.3882665, 20.3781268","023",POINT(451319.0446135485 5026271.431792158)
"22315","Биоскоп - „Екран"" доо","""Ekran"" Cinema LLC",Биоскопи,,Краља Петра I/4,Сомбор,Сомбор,ЗАПАДНО-БАЧКИ ОКРУГ,Регион Војводине,"25",412 056,063 389 940,bioskop.so@gmail.com,www.bioskopsombor.com,Мирела Милковић,Мирела Милковић,cinema,кинотеатры,"Кинотеатр - „Экран"" ООО",电影院,“埃克朗”公司影院,,45.7738998,19.1122758,"45.7738998, 19.1122758","025",POINT(353235.5978126463 5070659.543145795)
"22650",Биоскоп - Академија 28,Cinema of Academy Club 28,Биоскопи,"Предузеће за културу, образовање, издаваштво и маркетинг „Ђуро Салај” АД",Немањина 28,БЕОГРАД - Савски венац,БЕОГРАД - Савски венац,ГРАД БЕОГРАД,Београдски регион,"11",3621 787,,akademija28@yahoo.com,http://akademija28.com/,,Јелена Балевић,cinema,кинотеатры,Кинотеатр - Академия 28,电影院,28研究院影院,,44.8036,20.46332,"44.8036, 20.46332","011",POINT(457557.14658597944 4961273.302794491)
"22662",Биоскоп - Дом културе Књажевац,Cinema - Cultural center Knjazevac,Биоскопи,Дом културе Књажевац,Бранка Радичевића 1,Књажевац,Књажевац,ЗАЈЕЧАРСКИ ОКРУГ,Регион Јужне и Источне Србије,"19",731 804,"0648992732",dkknjazevac@ptt.rs,,Драгана Јанковић,Ивица Бранковић,cinema,кинотеатры,Кинотеатр - Дом культуры  Княжевац,电影院,克尼亚热瓦茨文化之家影院,,43.5693757,22.2541783,"43.5693757, 22.2541783","019",POINT(601277.4518660387 4824810.205900438)
"22642",Биоскоп - Библиотека „Милован Глишић”,"Cinema - Library ""Milovan Glisic""",Биоскопи,Библиотека „Милован Глишић” Љубовија,Трг Војводе Мишића бб,Љубовија,Љубовија,МАЧВАНСКИ ОКРУГ,Регион Шумадије и Западне Србије,"15",561 842,"0628871200",office@biblioteka-ljubovija.org.rs,,Маријана Петаковић,Маријана Петаковић,cinema,кинотеатры,Кинотеатр - Библиотека „Милован Глишич”,电影院,“米洛万·格里希奇”图书馆影院,,44.1895146,19.3727796,"44.1895146, 19.3727796","015",POINT(369954.5109237477 4894209.527859259)
"22641",Биоскоп - Библиотека „Политика”,"Library ""Politika""",Биоскопи,Библиотека „Политика” Крупањ,Мачков камен 3,Крупањ,Крупањ,МАЧВАНСКИ ОКРУГ,Регион Шумадије и Западне Србије,"15","581 033; 581 203",064 3169 788,bibliotekapolitika@gmail.com,,,Миољуб Лукић,cinema,кинотеатры,Кинотеатр - Библиотека „Политика”,电影院,“政治”图书馆影院,,44.3642856,19.3625244,"44.3642856, 19.3625244","015",POINT(369522.3469362239 4913638.395195622)
"22608",Биоскоп - Дворана Културног центра,The Cultural Centre of Belgrade Movie Theatre,Биоскопи,Културни центар Београда,Коларчева 6,БЕОГРАД - Стари град,БЕОГРАД - Стари град,ГРАД БЕОГРАД,Београдски регион,"11",2621 174,"0628005812",bioskop@kcb.org.rs,https://www.kcb.org.rs/category/filmski-program/?script=cir,v.d. Ивона Јевтић,Весна Даниловић,cinema,кинотеатры,Кинотеатр - Зал Культурного центра,电影院,文化中心礼堂影院,,44.8154537,20.4581826,"44.8154537, 20.4581826","011",POINT(457159.6355822074 4962592.749657881)
"22631","Биоскоп - Дом културе „Вук Караџић""","Cinema - Cultural center ""Vuk Karadzic""",Биоскопи,Дом културе „Вук Караџић” Омољица,Трг Светог Саве 1,Панчево,Панчево,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",617 005,061 515 0981,dkomoljica@gmail.com,www.zisel.rs,Никола Ђукановић,Ксенија Јованов,cinema,кинотеатры,"Кинотеатр - Дом культуры  „Вук Караджич""",电影院,“武克·卡拉季奇”文化之家影院,,44.757925,20.7348709,"44.757925, 20.7348709","013",POINT(479015.9684755197 4956093.693600742)
"22664",Биоскоп - Дом културе „Јован Томић”,"Cinema - Cultural center ""Jovan Tomic""",Биоскопи,Дом културе „Јован Томић” Нова Варош,Трг војводе Петра Бојовица 5,Нова Варош,Нова Варош,ЗЛАТИБОРСКИ ОКРУГ,Регион Шумадије и Западне Србије,"33",61 130,,domkulturenv@gmail.com,,,Фарук Ибишбеговић,cinema,кинотеатры,Кинотеатр - Дом культуры  „Йован Томич”,电影院,“约万·托米奇”文化之家影院,,43.4591453,19.8085777,"43.4591453, 19.8085777","033",POINT(403614.9585563632 4812493.505852737)
"22629",Биоскоп - Дом културе „Михајло Пупин”,"Cinema - Cultural center ""Mihajlo Pupin""",Биоскопи,Дом културе „Михајло Пупин”,Иве Лоле Рибара 47,Ковачица,Ковачица,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",676 240,062 256 341,domkultureidvor@gmail.com,www.muzejpupina.rs,Светислав Закић,Мирјана Грујић,cinema,кинотеатры,Кинотеатр - Дом культуры  „Михайло Пупин”,电影院,“米哈伊尔·普平”文化之家影院,,45.1044197,20.6262454,"45.1044197, 20.6262454","013",POINT(470595.9752500983 4994618.150794544)
"22651",Биоскоп - Дом културе „Пиво Караматијевић”,"Cinema - Cultural center ""Pivo Karamatijevic""",Биоскопи,Дом културе „Пиво Караматијевић” Прибој,12. јануар 86,Прибој,Прибој,ЗЛАТИБОРСКИ ОКРУГ,Регион Шумадије и Западне Србије,"33","2445 880; 2454 802",064 4440 726,dkulturepb@gmail.com,,,Ибрахим Хасанагић,cinema,кинотеатры,Кинотеатр - Дом культуры  „Пиво Караматиевич”,电影院,“皮沃·卡拉玛提耶维奇”文化之家影院,,43.5831265,19.5231155,"43.5831265, 19.5231155","033",POINT(380765.5202897003 4826632.862746576)
"22663",Биоскоп - Дом културе „Радан”,"Cinema - Cultural center""Radan""",Биоскопи,Дом културе „Радан” Лебане,Цара Душана 79,Лебане,Лебане,ЈАБЛАНИЧКИ ОКРУГ,Регион Јужне и Источне Србије,"16",843 920,,domkultureradan@gmail.com,,Марко Тодоровић,Марко Тодоровић,cinema,кинотеатры,Кинотеатр - Дом культуры  „Радан”,电影院,“拉丹”文化之家影院,,42.9198215,21.7367646,"42.9198215, 21.7367646","016",POINT(560130.6156286813 4752174.450862022)
"22659",Биоскоп - Дом културе Александровац,Cinema - Cultural center Aleksandrovac,Биоскопи,Дом културе „Милосав Буца Мирковић” Александровац,10. август бб,Александровац,Александровац,РАСИНСКИ ОКРУГ,Регион Шумадије и Западне Србије,"37",3552 071,063 8033 751,domkulturealeksandrovac@yahoo.com,,,Снежана Ђорђевић,cinema,кинотеатры,Кинотеатр - Дом культуры  Александровац,电影院,阿莱克桑德洛瓦茨文化之家影院,,43.4596636,21.0469116,"43.4596636, 21.0469116","037",POINT(503795.06058334216 4811862.783979247)
"22625",Биоскоп - Дом културе Бачка Топола,Cinema - Cultural center Backa Topola,Биоскопи,Дом културе Бачка Топола,Главна 12,Бачка Топола,Бачка Топола,СЕВЕРНО-БАЧКИ ОКРУГ,Регион Војводине,"24",713 515,,kultura@stcable.net,,,Татјана Дудас,cinema,кинотеатры,Кинотеатр - Дом культуры  Бачка-Топола,电影院,巴池托珀拉文化回家影院,,45.8130012,19.6284979,"45.8130012, 19.6284979","024",POINT(393444.506210348 5074185.564279366)
"22593",Биоскоп - Дом културе Ивањица,Cinema - Cultural center Ivanjica,Биоскопи,Дом културе Ивањица,Венијамина Маринковића бб,Ивањица,Ивањица,МОРАВИЧКИ ОКРУГ,Регион Шумадије и Западне Србије,"32",661 087,"0652606229",domkultureivanjica@mts.rs,,,Милан Крунић,cinema,кинотеатры,Кинотеатр - Дом культуры  Иваница,电影院,伊瓦尼查文化之家影院,,43.5699425,20.2395277,"43.5699425, 20.2395277","032",POINT(438591.0492198084 4824390.00212694)
"22652",Биоскоп - Дом културе Пријепоље,Cinema - Cultural centre Prijepolje,Биоскопи,Дом културе Пријепоље,Санџачких бригада 2,Пријепоље,Пријепоље,ЗЛАТИБОРСКИ ОКРУГ,Регион Шумадије и Западне Србије,"33",711 566,064 8560 415,domkulture@mts.rs,facebook.com/pages/DOM-KULTURE-PRIJEPOLJE/138615532818763,в.д. Мирко Антоније Малешић,Мићовић Василије,cinema,кинотеатры,Кинотеатр - Дом культуры  Приеполе,电影院,普利耶珀列文化之家影院,,43.3911026,19.6481353,"43.3911026, 19.6481353","033",POINT(390512.5952981281 4805134.980439305)
"22671",Биоскоп - Дом културе Чачак,Cinema - Cultural Center Čačak,Биоскопи,Дом културе Чачак,Трг устанка 2,Чачак,Чачак,МОРАВИЧКИ ОКРУГ,Регион Шумадије и Западне Србије,"32",325 073,064 80 40 240,dk@domkulturecacak.org,www.domkulturecacak.org,Радисав Луковић,Милен Алемпијевић,cinema,кинотеатры,Кинотеатр - Дом культуры  Чачак,电影院,查查克文化之家影院,,43.8920641,20.3476985,"43.8920641, 20.3476985","032",POINT(447607.54567758035 4860091.526111113)
"22665",Биоскоп - Дом омладине,Belgrade Youth Centre Cinema,Биоскопи,Дом омладине Београда,Македонска 22/4,БЕОГРАД - Стари град,БЕОГРАД - Стари град,ГРАД БЕОГРАД,Београдски регион,"11","3220127","0605102062",dobinfo@domomladine.org,www.domomladine.org,"Ненад Драговић, в.д.",Снежана Аџемовић,cinema,кинотеатры,Кинотеатр - Дом молодежи,电影院,青年之家影院,,44.815479,20.4607036,"44.815479, 20.4607036","011",POINT(457358.9844533176 4962594.234556222)
"22639",Биоскоп - Јавна библиотека Општине Дољевац,Cinema - Public Librery,Биоскопи,Jaвна библиотека Дољевац,Николе Тесле 28,Дољевац,Дољевац,НИШАВСКИ ОКРУГ,Регион Јужне и Источне Србије,"18",810 814,,n.bibliotekadoljevac@yahoo.com,,Боги Митић,Братислав Насковић,cinema,кинотеатры,Кинотеатр - Публичная библиотека муниципалитета Долевац,电影院,多列瓦茨城区公共图书馆影院,,43.1978047,21.8315399,"43.1978047, 21.8315399","018",POINT(567559.7776793903 4783116.651233537)
"22669",Биоскоп - ЈП Сава Центар,Sava Center Cinema,Биоскопи,Сава центар Београд,Милентија Поповића 9,БЕОГРАД - Нови Београд,БЕОГРАД - Нови Београд,ГРАД БЕОГРАД,Београдски регион,"11",2206 768,064 8229 326,film@savacentar.net,,,Јелена Стошковић,cinema,кинотеатры,Кинотеатр - ГП  Центр Савва,电影院,萨瓦中心国有公司影院,,44.8085013,20.429957,"44.8085013, 20.429957","011",POINT(454922.48054626375 4961835.714241328)
"22615","Биоскоп - Културни центар ""Брана Црнчевић"" Рума","Cultural center ""Brana Crncevic"" Ruma",Биоскопи,Културни центар Рума,Вељка Дугошевића 102,Рума,Рума,СРЕМСКИ ОКРУГ,Регион Војводине,"22",471 212,069 715 758,kulturnicentarruma@gmail.com,www.kcruma.co.rs,Тања Слепчевић,Јован Јеремић,cinema,кинотеатры,Кинотеатр - КЦ Рума,电影院,鲁马文化中心影院,,45.008881,19.821803,"45.008881, 19.821803","022",POINT(407154.3920301517 4984612.1322492985)
"22595","Биоскоп - Културни центар REX, фонд б92","Cinema - Cultural Center REX, B92 Foundation",Биоскопи,Културни центар „Reх” Београд,Јеврејска 16,БЕОГРАД - Стари град,БЕОГРАД - Стари град,ГРАД БЕОГРАД,Београдски регион,"11",3284 534,,reх@b92.net,,,Тадеј Курепа,cinema,кинотеатры,"Кинотеатр - Культурный центр РЕКС, фонд б92",电影院,692基金莱克斯文化中心影院,,44.8266214,20.4551097,"44.8266214, 20.4551097","011",POINT(456924.98423216573 4963834.925044436)
"22668","Биоскоп - Културни центар Врбас, Биоскоп Југославија",Cinema - Cultural Center Vrbasa,Биоскопи,Културни центар Врбас,Маршала Тита 71,Врбас,Врбас,ЈУЖНО-БАЧКИ ОКРУГ,Регион Војводине,"21",704 501,064 8577 076,dkvrbas@eunet.rs,,Рихард Хенгл,Делибашић Љубица,cinema,кинотеатры,"Кинотеатр - Культурный центр Врбас, Кинотеатр Югославия",电影院,弗尔巴茨文化中心影院，南斯拉夫影院,,45.5725729,19.6377508,"45.5725729, 19.6377508","021",POINT(393708.8259232632 5047461.645432516)
"22600",Биоскоп - Културни центар Вршац,Cinema - Cultural Center Vrsac,Биоскопи,Културни центар Вршац,Sterijina 62,Вршац,Вршац,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13","839 190; 830 900","0606050623",office@kulcentar.com,www.kulcentar.com,Davor Stojković,Живојин Петровић,cinema,кинотеатры,Кинотеатр - Культурный центр Вршац,电影院,弗尔沙茨文化中心影院,,45.1163782,21.2967034,"45.1163782, 21.2967034","013",POINT(523337.3784090869 4995921.489745574)
"22610",Биоскоп - Културни центар Инђија,Cinema - Cultural centre of Indjija,Биоскопи,Културни центар Инђија,Војводе Степе 40a,Инђија,Инђија,СРЕМСКИ ОКРУГ,Регион Војводине,"22",2150 148,"0646491049",kci@indjija.net,www.kcindjija.com,Ружица Јовановић,Јелена Пешут,cinema,кинотеатры,Кинотеатр - Культурный центр Инджия,电影院,因吉亚文化中心影院,,45.0510419,20.0847052,"45.0510419, 20.0847052","022",POINT(427924.847670536 4989027.992917408)
"22609",Биоскоп - Културни центар Младеновац,Cinema - Cultural and Tourisam Centar Mladenovac,Биоскопи,Центар за културу и туризам Младеновац,Војводе Путника 7,БЕОГРАД - Младеновац,БЕОГРАД - Младеновац,ГРАД БЕОГРАД,Београдски регион,"11",8231 230,064 8673 807,info@ckm.co.rs,www.ckm.co.rs,Бранко Милорадовић,Јелена Миловић,cinema,кинотеатры,Кинотеатр - Культурный центр Младеновац,电影院,姆拉德诺瓦茨文化中心影院,,44.4413157,20.6910442,"44.4413157, 20.6910442","011",POINT(475414.0827062226 4920937.11747896)
"22612",Биоскоп - Културни центар Нови Сад,Cinema - Cultural Centre of Novi Sad,Биоскопи,Културни центар Новог Сада,Католичка порта 5,Нови Сад,Нови Сад,ЈУЖНО-БАЧКИ ОКРУГ,Регион Војводине,"21",528 346,064 1635 251,filmkcns@gmail.com,www.kcns.org.rs,Бојан Панаотовић,Ђорђе Каћански,cinema,кинотеатры,Кинотеатр - Культурный центр Нови-Сад,电影院,诺维萨德文化中心影院,,45.2562965,19.8432509,"45.2562965, 19.8432509","021",POINT(409237.89060643385 5012073.122582275)
"22653",Биоскоп - Културни центар општине Беочин,Cinema - Cultural Center Beočin,Биоскопи,Културни центар Беочин,Трг Цара Лазара 1,Беочин,Беочин,ЈУЖНО-БАЧКИ ОКРУГ,Регион Војводине,"21",870 230,"0658054203",kcentar1@mts.rs,kcobeocin.rs,Софија Мартиновић,Татјана Станојевић,cinema,кинотеатры,Кинотеатр - Культурный центр муниципалитета Беочин,电影院,贝尔钦城区文化影院,,45.2080321,19.7205797,"45.2080321, 19.7205797","021",POINT(399527.72276794235 5006856.710209718)
"22678",Биоскоп - Културно образовни центар Бољевац,Cinema - Cultural-Educational Center Boljevac,Биоскопи,Културно-образовни центар Бољевац,Кнеза Милоша 4,Бољевац,Бољевац,ЗАЈЕЧАРСКИ ОКРУГ,Регион Јужне и Источне Србије,"30",463 737,,kultura@beotel.rs,,Емина Бранковић,Емина Бранковић,cinema,кинотеатры,Кинотеатр - Культурно-образовательный центр Болевац,电影院,波列瓦茨文化教育中心影院,,43.8298842,21.9563162,"43.8298842, 21.9563162","030",POINT(576890.6826265979 4853423.137291466)
"22313",Биоскоп - Купина филм,"""Kupinafilm"" Cinema",Биоскопи,,Балканска 2,Ниш,Ниш,НИШАВСКИ ОКРУГ,Регион Јужне и Источне Србије,"18",520 434,069 4419 594,"kupinafilm@yahoo.com; vlada@kupinafilm.rs",www.kupinafilm.rs,Владимир Петковић,Владимир Петковић,cinema,кинотеатры,Кинотеатр - Купина фильм,电影院,库皮纳影院,,43.3217381,21.8923696,"43.3217381, 21.8923696","018",POINT(572355.0931227612 4796930.8744461825)
"22590",Биоскоп - КЦ „Драинац”,"Cinema - Cultural Center ""Drainac""",Биоскопи,Културни центар „Драинац”,Краља Петра I 70,Блаце,Блаце,ТОПЛИЧКИ ОКРУГ,Регион Јужне и Источне Србије,"27",371 709,064 8099 444,kcracunovodstvo@gmail.com,,Дејан Велимировић,Снежана Урошевић,cinema,кинотеатры,Кинотеатр - КЦ „Драинац”,电影院,“德拉伊纳茨”文化中心影院,,43.2958042,21.2861239,"43.2958042, 21.2861239","027",POINT(523209.3066950813 4793703.942828944)
"22644",Биоскоп - КЦ Врњачка Бања,Cinema - Cultural Center Vrnjačka Banja,Биоскопи,Културни центар Врњачка Бања,Врњачка 20,Врњачка Бања,Врњачка Бања,РАШКИ ОКРУГ,Регион Шумадије и Западне Србије,"36",611 153,064 8854 282,kulturnicentar.vb@gmail.com,nema,Саша Миленковић,Равилић Саша,cinema,кинотеатры,Кинотеатр - КЦ Врнячка-Баня,电影院,弗拉涅巴尼亚文化中心影院,,43.625126,20.894187,"43.625126, 20.894187","036",POINT(491463.3049277067 4830243.221033465)
"22613",Биоскоп - КЦ Панчево,Cinema - Cultural Centre of Pancevo,Биоскопи,Културни центар Панчева,Војводе Живојина Мишића 4,Панчево,Панчево,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",440 940,,kcp@kcp.rs,,Немања Богданов,Владимир Протић,cinema,кинотеатры,Кинотеатр - КЦ Панчево,电影院,潘切沃文化中心影院,,44.8702536,20.6400189,"44.8702536, 20.6400189","013",POINT(471564.0223287469 4968600.406941795)
"22655",Биоскоп - КЦ Пожега,Cinema - Cultural Center Pozega,Биоскопи,Културни центар Пожега,Књаза Милоша 8,Пожега,Пожега,ЗЛАТИБОРСКИ ОКРУГ,Регион Шумадије и Западне Србије,"31","3825 551; 812 421",,kcpozega@gmail.com,,,Слађана Петровић Варагић,cinema,кинотеатры,Кинотеатр - КЦ Пожега,电影院,珀热加文化中心影院,,43.8458913,20.0356708,"43.8458913, 20.0356708","031",POINT(422485.7723298677 4855208.449522478)
"22611",Биоскоп - КЦ С. Марковић,Cultural Centre Jagodina,Биоскопи,Културни центар „Светозар Марковић” Јагодина,Кнегиње Милице 25,Јагодина,Јагодина,ПОМОРАВСКИ ОКРУГ,Регион Шумадије и Западне Србије,"35",221 921,064 8197 837,kultcentar@gmail.com,kulturnicentar.autentik.net,Небојша Петровић,Зорица Стојиновић,cinema,кинотеатры,Кинотеатр - КЦ С. Маркович,电影院,斯·马尔科维奇文化中心影院,,43.9750676,21.2655739,"43.9750676, 21.2655739","035",POINT(521301.0684080095 4869137.93775246)
"22614",Биоскоп - КЦ Топола,Cultural centar Topola,Биоскопи,Културни центар Топола,Булевар вожда Карађорђа бб,Топола,Топола,ШУМАДИЈСКИ ОКРУГ,Регион Шумадије и Западне Србије,"34",811 618,"00",kctopola@open.telekom.rs,www.kctopola.com,Мирољуб Марковић,Бојана Ђорђевић,cinema,кинотеатры,Кинотеатр - КЦ Топола,电影院,托珀拉文化中心影院,,44.2548675,20.6776099,"44.2548675, 20.6776099","034",POINT(474263.55893624737 4900231.575757599)
"22312",Биоскоп - Мултимедијални центар  „МР Кварт”,"Multimedial centre ""МR KVart"" ltd",Биоскопи,,Цара Лазара 34,Краљево,Краљево,РАШКИ ОКРУГ,Регион Шумадије и Западне Србије,"36",312 227,,mmckvart@gmail.com,www.kvart.rs,Бора Тошић,Бора Тошић,cinema,кинотеатры,Кинотеатр - Мультимедиа центр  „МР Кварт”,电影院,“MP科瓦尔特”多媒体中心影院,,43.7244814,20.6868761,"43.7244814, 20.6868761","036",POINT(474779.6838162386 4841319.971173954)
"22604",Биоскоп - Мултимедијални центар Тутин,Cinema - Multumedial Center Tutin,Биоскопи,Мултимедијални центар,Ферхадија бр.1,Тутин,Тутин,РАШКИ ОКРУГ,Регион Шумадије и Западне Србије,"20",820 010,063 8881 224,mmcentartutin@gmail.com,,Рифат Рамовић,Рифат Рамовић,cinema,кинотеатры,Кинотеатр - Мультимедиа центр Тутин,电影院,图廷多媒体中心影院,,42.9905006,20.3357863,"42.9905006, 20.3357863","020",POINT(445852.60958151997 4759973.92209692)
"22635",Биоскоп - Народна библиотека  „Бранко Миљковић”,"Cinema - Public Library ""Branko Miljkovic""",Биоскопи,Народна библиотека „Бранко Миљковић”,Милоша Обилића бб,Гаџин хан,Гаџин хан,НИШАВСКИ ОКРУГ,Регион Јужне и Источне Србије,"18",860 024,063 682 118,biblioteka@gadzinhan.rs,,,Бобан Крстић,cinema,кинотеатры,Кинотеатр - Народна библиотека  „Бранко Милькович”,电影院,“布兰科·米尔科维奇”国家图书馆影院,,43.2257691,22.0300064,"43.2257691, 22.0300064","018",POINT(583646.3750136688 4786401.522860411)
